iter	Passed	Remaining
0	144	144672
1	146	73225
2	148	49449
3	150	37597
4	152	30375
5	154	25569
6	155	22109
7	157	19547
8	159	17522
9	160	15900
10	161	14558
11	163	13440
12	164	12489
13	165	11674
14	166	10948
15	167	10315
16	170	9858
17	171	9342
18	172	8885
19	172	8469
20	173	8090
21	174	7746
22	175	7435
23	175	7139
24	176	6873
25	176	6625
26	177	6393
27	177	6176
28	178	5974
29	178	5786
30	179	5609
31	179	5443
32	180	5286
33	180	5140
34	181	5002
35	182	4873
36	182	4749
37	182	4632
38	183	4526
39	184	4421
40	184	4320
41	184	4217
42	185	4125
43	185	4037
44	186	3953
45	186	3873
46	187	3796
47	187	3722
48	188	3652
49	188	3586
50	189	3522
51	189	3459
52	190	3399
53	190	3340
54	191	3281
55	191	3227
56	191	3175
57	192	3125
58	192	3076
59	193	3029
60	193	2983
61	194	2940
62	194	2898
63	195	2856
64	195	2818
65	196	2780
66	196	2742
67	197	2705
68	197	2669
69	198	2634
70	199	2604
71	199	2571
72	200	2539
73	200	2508
74	200	2478
75	201	2448
76	201	2419
77	202	2391
78	202	2364
79	203	2337
80	203	2312
81	204	2287
82	204	2262
83	205	2238
84	205	2214
85	206	2191
86	206	2168
87	207	2146
88	207	2125
89	208	2104
90	208	2084
91	209	2063
92	209	2044
93	210	2024
94	210	2005
95	210	1986
96	211	1968
97	211	1950
98	212	1933
99	212	1915
100	213	1898
101	213	1882
102	214	1866
103	214	1851
104	215	1835
105	215	1819
106	216	1804
107	216	1790
108	217	1775
109	217	1761
110	218	1747
111	218	1733
112	219	1719
113	219	1706
114	220	1693
115	220	1680
116	221	1668
117	221	1656
118	222	1643
119	222	1631
120	222	1619
121	223	1608
122	224	1597
123	224	1586
124	224	1574
125	225	1563
126	225	1553
127	226	1542
128	226	1532
129	227	1521
130	227	1511
131	228	1501
132	228	1491
133	229	1481
134	229	1472
135	230	1462
136	230	1453
137	231	1444
138	231	1435
139	232	1426
140	232	1417
141	233	1408
142	233	1399
143	234	1391
144	234	1382
145	235	1374
146	235	1366
147	236	1358
148	236	1350
149	236	1342
150	237	1335
151	238	1327
152	238	1320
153	238	1312
154	239	1305
155	239	1297
156	240	1290
157	240	1283
158	241	1276
159	241	1269
160	242	1262
161	242	1255
162	243	1248
163	243	1242
164	244	1236
165	244	1229
166	245	1223
167	245	1217
168	246	1210
169	246	1204
170	247	1198
171	247	1192
172	248	1186
173	248	1180
174	249	1174
175	249	1168
176	250	1163
177	250	1157
178	251	1151
179	251	1146
180	252	1140
181	252	1135
182	253	1129
183	253	1124
184	253	1118
185	254	1113
186	254	1108
187	255	1102
188	255	1097
189	256	1092
190	256	1087
191	257	1082
192	257	1077
193	258	1072
194	258	1067
195	259	1062
196	259	1058
197	260	1053
198	260	1048
199	261	1044
200	261	1039
201	262	1035
202	262	1031
203	263	1026
204	263	1022
205	264	1017
206	264	1013
207	265	1009
208	265	1004
209	265	1000
210	266	996
211	266	992
212	267	987
213	267	983
214	268	979
215	268	975
216	269	971
217	269	967
218	270	963
219	270	959
220	271	955
221	271	951
222	272	948
223	272	944
224	273	940
225	273	936
226	274	933
227	274	929
228	275	926
229	275	922
230	276	919
231	276	915
232	277	912
233	277	908
234	277	904
235	278	901
236	278	897
237	279	894
238	279	891
239	280	887
240	280	884
241	281	881
242	281	877
243	282	874
244	282	871
245	283	868
246	283	865
247	284	861
248	284	858
249	285	855
250	285	852
251	286	849
252	286	846
253	287	843
254	287	840
255	288	837
256	288	834
257	289	831
258	289	828
